end,payloadSize,metadataSize,objectCount,uploadCount
"2023-07-16T13:40:00.000Z","46665222912","20019823","152065","0"
"2023-07-16T14:30:00.000Z","46996981027","20162497","153149","0"
"2023-07-16T15:30:00.000Z","47423888016","20391814","154858","0"
"2023-07-16T16:40:00.000Z","48104463298","20626978","156579","0"
"2023-07-16T17:40:00.000Z","48472312685","20786027","157767","0"
"2023-07-16T18:30:00.000Z","48759592420","20880245","158472","0"
"2023-07-16T19:30:00.000Z","49024225415","20996702","159390","0"
"2023-07-16T20:40:00.000Z","49350163912","21125825","160408","0"
"2023-07-16T21:30:00.000Z","49531806873","21206225","161030","0"
"2023-07-16T22:30:00.000Z","49936366796","21332472","162000","0"
"2023-07-17T00:10:00.000Z","50300473842","21510146","163358","0"
"2023-07-17T02:30:00.000Z","51043047208","21833257","165788","0"
"2023-07-17T03:30:00.000Z","51348650328","22009539","167142","0"
"2023-07-17T04:10:00.000Z","51636901272","22155700","168256","0"
"2023-07-17T05:10:00.000Z","52003179897","22364971","169828","0"
"2023-07-17T06:10:00.000Z","52428997480","22565518","171319","0"
"2023-07-17T07:10:00.000Z","52824731029","22757372","172741","0"
"2023-07-17T07:30:00.000Z","52923799968","22811524","173153","0"
"2023-07-17T08:40:00.000Z","53343491999","23002286","174618","0"
"2023-07-17T09:30:00.000Z","53782650056","23161993","175804","0"
"2023-07-17T10:30:00.000Z","54268394168","23398011","177574","0"
"2023-07-17T11:40:00.000Z","54880912741","23663274","179571","0"
"2023-07-17T12:40:00.000Z","55349701868","23878663","181198","0"
"2023-07-17T13:30:00.000Z","55788569728","24064415","182597","0"
